taxid,species,genus,family,order,class,phylum,kingdom,superkingdom,Nucleotide_Count,Type
1933309,Oropouche orthobunyavirus__1933309,Orthobunyavirus__11572,Peribunyaviridae__1980416,Bunyavirales__1980410,Ellioviricetes__2497576,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,2158,-
1980917,Salmonid novirhabdovirus__1980917,Novirhabdovirus__186778,Rhabdoviridae__11270,Mononegavirales__11157,Monjiviricetes__2497574,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,1026,-
12331,Rice stripe tenuivirus__12331,Tenuivirus__12329,Phenuiviridae__1980418,Bunyavirales__1980410,Ellioviricetes__2497576,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,803,-
38525,Avian metapneumovirus__38525,Metapneumovirus__162387,Pneumoviridae__11244,Mononegavirales__11157,Monjiviricetes__2497574,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,733,-
1933178,Akabane orthobunyavirus__1933178,Orthobunyavirus__11572,Peribunyaviridae__1980416,Bunyavirales__1980410,Ellioviricetes__2497576,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,720,-
57482,European bat 1 lyssavirus__57482,Lyssavirus__11286,Rhabdoviridae__11270,Mononegavirales__11157,Monjiviricetes__2497574,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,645,-
2034996,Tilapia tilapinevirus__2034996,Tilapinevirus__2034997,Amnoonviridae__2501949,Articulavirales__2499411,Insthoviricetes__2497577,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,617,-
2560743,Schmallenberg orthobunyavirus__2560743,Orthobunyavirus__11572,Peribunyaviridae__1980416,Bunyavirales__1980410,Ellioviricetes__2497576,Negarnaviricota__2497569,Orthornavirae__2732396,Viruses__10239,522,-
11103,Hepacivirus C__11103,Hepacivirus__11102,Flaviviridae__11050,Amarillovirales__2732545,Flasuviricetes__2732462,Kitrinoviricota__2732406,Orthornavirae__2732396,Viruses__10239,273723,+
11983,Norwalk virus__11983,Norovirus__142786,Caliciviridae__11974,Picornavirales__464095,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,60009,+
12637,Dengue virus__12637,Flavivirus__11051,Flaviviridae__11050,Amarillovirales__2732545,Flasuviricetes__2732462,Kitrinoviricota__2732406,Orthornavirae__2732396,Viruses__10239,50000,+
138948,Enterovirus A__138948,Enterovirus__12059,Picornaviridae__12058,Picornavirales__464095,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,44425,+
28344,Porcine reproductive and respiratory syndrome virus__28344,,Arteriviridae__76803,Nidovirales__76804,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,41373,+
11082,West Nile virus__11082,Flavivirus__11051,Flaviviridae__11050,Amarillovirales__2732545,Flasuviricetes__2732462,Kitrinoviricota__2732406,Orthornavirae__2732396,Viruses__10239,23308,+
694014,Avian coronavirus__694014,Gammacoronavirus__694013,Coronaviridae__11118,Nidovirales__76804,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,18179,+
12110,Foot-and-mouth disease virus__12110,Aphthovirus__12109,Picornaviridae__12058,Picornavirales__464095,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,15462,+
138950,Enterovirus C__138950,Enterovirus__12059,Picornaviridae__12058,Picornavirales__464095,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,15075,+
1678143,Orthohepevirus A__1678143,Orthohepevirus__1678141,Hepeviridae__291484,Hepelivirales__2732543,Alsuviricetes__2732461,Kitrinoviricota__2732406,Orthornavirae__2732396,Viruses__10239,11182,+
28295,Porcine epidemic diarrhea virus__28295,Alphacoronavirus__693996,Coronaviridae__11118,Nidovirales__76804,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,7926,+
12162,Citrus tristeza virus__12162,Closterovirus__12160,Closteroviridae__69973,Martellivirales__2732544,Alsuviricetes__2732461,Kitrinoviricota__2732406,Orthornavirae__2732396,Viruses__10239,7456,+
138951,Enterovirus D__138951,Enterovirus__12059,Picornaviridae__12058,Picornavirales__464095,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,6313,+
693997,Alphacoronavirus 1__693997,Alphacoronavirus__693996,Coronaviridae__11118,Nidovirales__76804,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,6193,+
1985356,Pegivirus C__1985356,Pegivirus__1307799,Flaviviridae__11050,Amarillovirales__2732545,Flasuviricetes__2732462,Kitrinoviricota__2732406,Orthornavirae__2732396,Viruses__10239,5462,+
198112,Deformed wing virus__198112,Iflavirus__232799,Iflaviridae__699189,Picornavirales__464095,Pisoniviricetes__2732506,Pisuviricota__2732408,Orthornavirae__2732396,Viruses__10239,5431,+
